Codigo_Pieza,Extension,Largo_CAD,Ancho_CAD,Espesor_Perfil_CAD,Material,Observaciones,Tiene_DXF,Largo_DXF,Ancho_DXF,Largo_DXF_Nuevo,Ancho_DXF_Nuevo,Ruta_Archivo
C53-BR1-007,.sldprt,76.2,76.2,19.05,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-007.SLDPRT
C53-BR1-008,.sldprt,396.38,76.2,3.18,,OK (CAD y DXF coinciden),SI,396.3768522911762,76.2,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR1-008.SLDPRT
C53-BR2-001,.sldprt,1684.6,76.2,76.2,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR2-001.SLDPRT
C53-BR2-002,.sldprt,2035.0,63.5,63.5,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BR2-002.SLDPRT
C53-BRC-001,.sldprt,657.0,63.5,63.5,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BRC-001.SLDPRT
C53-BRC-002,.sldprt,784.0,50.8,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-BRC-002.SLDPRT
C53-CH-ELV-001,.sldprt,254.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH-ELV-001.SLDPRT
C53-CH-ELV-002,.sldprt,114.3,88.9,60.0,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH-ELV-002.SLDPRT
C53-CH1-001,.sldprt,350.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH1-001.SLDPRT
C53-CH2-001,.sldprt,530.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH2-001.SLDPRT
C53-CH4-001,.sldprt,482.0,114.3,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH4-001.SLDPRT
C53-CH5-01,.sldprt,1000.0,206.4,4.76,,OK (CAD y DXF coinciden),SI,1000.0,206.375,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-01.SLDPRT
C53-CH5-02,.sldprt,1000.0,99.0,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-02.SLDPRT
C53-CH5-03,.sldprt,206.4,114.3,4.76,,OK (CAD y DXF coinciden),SI,206.375,114.29999999999998,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-03.SLDPRT
C53-CH5-04,.sldprt,114.3,99.0,88.9,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-04.SLDPRT
C53-CH5-05,.sldprt,228.6,148.9,19.05,,OK (CAD y DXF coinciden),SI,228.6,148.9000000000001,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-05.SLDPRT
C53-CH5-07,.sldprt,749.2,76.2,50.8,,OK (Solido/Perfil - Bounding Box),NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-07.SLDPRT
C53-CH5-08,.sldprt,1000.0,358.9,4.76,,OK (CAD y DXF coinciden),SI,999.9999999999999,358.8850000000001,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-08.SLDPRT
C53-CH5-09,.sldprt,1000.0,88.9,4.76,,OK (CAD y DXF coinciden),SI,1000.0,88.90000000000012,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-CH5-09.SLDPRT
C53-OBLON-DER,.sldprt,812.65,751.22,3.05,,OK (CAD y DXF coinciden),SI,812.6455727803464,751.216225721965,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53-OBLON-DER.SLDPRT
